Nome,Código,Tipo,Unidade,Preço,Status,Descrição
"Chatbot WhatsApp Business com IA",AI-001,Serviço,Projeto,"8500.00",Ativo,"Implementação de chatbot inteligente com IA generativa para WhatsApp Business. Inclui análise de requisitos, design de fluxos conversacionais, integração com APIs, treinamento do modelo e deploy. Automatiza atendimento, qualificação de leads e vendas 24/7."
"Consultoria em IA Generativa",AI-002,Serviço,Projeto,"15000.00",Ativo,"Consultoria estratégica para implementação de IA Generativa (ChatGPT, Claude, Gemini) em processos de negócio. Inclui assessment, identificação de use cases, POC, roadmap de implementação e estratégia de ROI."
"Automação de Processos com IA (RPA + IA)",AI-003,Serviço,Projeto,"12500.00",Ativo,"Automação inteligente de processos repetitivos usando RPA + IA. Inclui mapeamento de processos, design de automações, implementação, testes e documentação."
"Auditoria de Código e Arquitetura",MOD-001,Serviço,Projeto,"9500.00",Ativo,"Análise profunda de sistemas legados com foco em qualidade de código, arquitetura, performance e segurança. Entrega de relatório detalhado com recomendações priorizadas e roadmap de modernização."
"Migração de Sistema Legado",MOD-002,Serviço,Projeto,"28500.00",Ativo,"Migração completa de sistemas legados para arquiteturas modernas (cloud-native, microservices). Inclui análise, planejamento, migração de dados, refatoração, testes e go-live com zero downtime."
"Refatoração e Otimização de Performance",MOD-003,Serviço,Projeto,"11500.00",Ativo,"Refatoração de código e otimização de performance de aplicações existentes. Inclui profiling, identificação de gargalos, refatoração, testes de carga e documentação técnica."
"Design System Corporativo",UX-001,Serviço,Projeto,"16500.00",Ativo,"Criação de Design System completo e escalável com componentes reutilizáveis, guia de estilos, tokens de design e documentação. Inclui Figma, código React/Angular/Vue e Storybook."
"UX Research e Discovery",UX-002,Serviço,Projeto,"7500.00",Ativo,"Pesquisa de usuários, análise de comportamento, personas, jornadas de usuário e validação de hipóteses. Entrega de insights acionáveis e recomendações estratégicas de UX."
"Setup DevOps Completo (CI/CD)",OPS-001,Serviço,Projeto,"13500.00",Ativo,"Implementação de pipeline CI/CD completo com GitHub Actions/GitLab CI/Azure DevOps. Inclui containerização (Docker), orquestração (Kubernetes), monitoramento, logs e alertas."
"Monitoramento e Observabilidade",OPS-002,Serviço,Projeto,"8500.00",Ativo,"Implementação de stack de observabilidade (Prometheus, Grafana, ELK/Datadog). Inclui dashboards, alertas inteligentes, SLOs, documentação e treinamento."
